length,site,date
13.35,brindle,9/4/2020
9.57,brindle,9/4/2020
9.38,brindle,9/4/2020
14.85,brindle,9/4/2020
9.96,brindle,9/4/2020
9.77,brindle,9/4/2020
15.69,brindle,9/4/2020
9.83,brindle,9/4/2020
10.35,brindle,9/4/2020
9.18,brindle,9/4/2020
10.35,brindle,9/4/2020
9.44,brindle,9/4/2020
23.38,tuntable,12/4/2020
21.44,tuntable,12/4/2020
16.17,tuntable,12/4/2020
19.5,tuntable,12/4/2020
21.92,tuntable,12/4/2020
18.59,tuntable,12/4/2020
20.68,tuntable,12/4/2020
17.41,tuntable,12/4/2020
19.01,tuntable,12/4/2020
19.84,tuntable,12/4/2020
7.89,tuntable,12/4/2020
8.49,tuntable,12/4/2020
20.12,tuntable,12/4/2020
9.96,tuntable,12/4/2020
8.96,tuntable,12/4/2020
9.16,tuntable,12/4/2020
9.56,tuntable,12/4/2020
8.76,tuntable,12/4/2020
8.49,tuntable,12/4/2020
22.26,tuntable,12/4/2020
8.89,tuntable,12/4/2020
10.09,tuntable,12/4/2020
9.83,tuntable,12/4/2020
10.23,tuntable,12/4/2020
21.72,tuntable,12/4/2020
8.56,tuntable,12/4/2020
9.22,tuntable,12/4/2020
17.45,tuntable,12/4/2020
10.16,tuntable,12/4/2020
8.97,tuntable,12/4/2020
20.08,tuntable,12/4/2020
19.53,tuntable,12/4/2020
20.22,tuntable,12/4/2020
19.26,tuntable,12/4/2020
18.98,tuntable,12/4/2020
18.91,tuntable,12/4/2020
9.73,tuntable,12/4/2020
8.7,tuntable,12/4/2020
10.35,tuntable,12/4/2020
9.11,tuntable,12/4/2020
10.63,tuntable,12/4/2020
22.02,tuntable,12/4/2020
21.67,tuntable,12/4/2020
9.11,tuntable,12/4/2020
9.18,tuntable,12/4/2020
19.05,tuntable,12/4/2020
10.35,tuntable,12/4/2020
19.88,tuntable,12/4/2020
8.05,brindle,24/5/2020
9.29,brindle,24/5/2020
11.91,brindle,24/5/2020
11.15,brindle,24/5/2020
17.34,brindle,24/5/2020
11.97,brindle,24/5/2020
8.05,brindle,24/5/2020
13.83,brindle,24/5/2020
9.29,brindle,24/5/2020
7.78,brindle,24/5/2020
11.42,brindle,24/5/2020
10.05,brindle,24/5/2020
11.29,brindle,24/5/2020
9.63,brindle,24/5/2020
9.91,brindle,24/5/2020
10.87,brindle,24/5/2020
11.08,brindle,24/5/2020
9.29,brindle,24/5/2020
9.22,brindle,24/5/2020
9.91,brindle,24/5/2020
9.57,brindle,24/5/2020
11.22,brindle,24/5/2020
11.97,brindle,24/5/2020
9.36,brindle,24/5/2020
8.05,brindle,24/5/2020
11.49,brindle,24/5/2020
10.8,brindle,24/5/2020
8.88,brindle,24/5/2020
7.98,brindle,24/5/2020
9.02,brindle,24/5/2020
9.29,brindle,24/5/2020
11.01,brindle,24/5/2020
9.57,brindle,24/5/2020
8.95,brindle,24/5/2020
9.36,brindle,24/5/2020
8.26,brindle,24/5/2020
8.6,brindle,24/5/2020
8.4,brindle,24/5/2020
9.57,brindle,24/5/2020
10.32,brindle,24/5/2020
8.33,brindle,24/5/2020
8.05,brindle,24/5/2020
10.05,brindle,24/5/2020
8.67,brindle,24/5/2020
9.29,brindle,24/5/2020
9.91,brindle,24/5/2020
9.22,brindle,24/5/2020
8.4,brindle,24/5/2020
11.7,brindle,24/5/2020
10.6,brindle,24/5/2020
10.53,brindle,24/5/2020
9.29,brindle,24/5/2020
8.19,brindle,24/5/2020
9.08,brindle,24/5/2020
7.43,brindle,24/5/2020
7.91,brindle,24/5/2020
10.19,brindle,24/5/2020
11.15,brindle,24/5/2020
11.08,brindle,24/5/2020
7.71,brindle,24/5/2020
11.15,brindle,24/5/2020
9.43,brindle,24/5/2020
7.71,brindle,24/5/2020
10.53,brindle,24/5/2020
11.49,brindle,24/5/2020
11.36,brindle,24/5/2020
16.52,brindle,24/5/2020
10.46,brindle,24/5/2020
11.56,brindle,24/5/2020
7.57,brindle,24/5/2020
7.16,brindle,24/5/2020
9.91,brindle,24/5/2020
9.91,brindle,24/5/2020
10.46,brindle,24/5/2020
8.88,brindle,24/5/2020
10.32,brindle,24/5/2020
8.81,brindle,24/5/2020
9.43,brindle,24/5/2020
8.81,brindle,24/5/2020
10.94,brindle,24/5/2020
9.57,brindle,24/5/2020
8.46,brindle,24/5/2020
8.81,brindle,24/5/2020
8.19,brindle,24/5/2020
9.57,brindle,24/5/2020
9.5,brindle,24/5/2020
9.22,brindle,24/5/2020
8.53,brindle,24/5/2020
9.91,brindle,24/5/2020
7.64,brindle,24/5/2020
9.02,brindle,24/5/2020
8.46,brindle,24/5/2020
